Entity,EntityDocumentsId,NewDocumentIndicator,RecordInsertDate
MANPUB,320,N,2022-10-30
MANPUB,321,N,2022-10-30
MANPUB,322,N,2022-10-30
MANPUB,323,N,2022-10-30
MANPUB,324,N,2022-10-30
MANPUB,325,N,2022-10-30
MANPUB,326,N,2022-10-30
MANPUB,327,N,2022-10-30
MANPUB,328,N,2022-10-30
MANPUB,329,N,2022-10-30
MANPUB,330,N,2022-10-30
MANPUB,331,N,2022-10-30
MANPUB,332,N,2022-10-30
MANPUB,333,N,2022-10-30
MANPUB,334,N,2022-10-30
MANPUB,335,N,2022-10-30
MANPUB,336,N,2022-10-30
MANPUB,337,N,2022-10-30
MANPUB,338,N,2022-10-30
MANPUB,339,N,2022-10-30
MANPUB,340,N,2022-10-30
MANPUB,341,N,2022-10-30
MANPUB,342,N,2022-10-30
MANPUB,343,N,2022-10-30
MANPUB,344,N,2022-10-30
MANPUB,345,N,2022-10-30
MANPUB,346,N,2022-10-30
MANPUB,347,N,2022-10-30
MANPUB,348,N,2022-10-30
MANPUB,349,N,2022-10-30
MANPUB,350,N,2022-10-30
MANPUB,351,N,2022-10-30
MANPUB,352,N,2022-10-30
MANPUB,353,N,2022-10-30
MANPUB,354,N,2022-10-30
MANPUB,355,N,2022-10-30
MANPUB,356,N,2022-10-30
MANPUB,357,N,2022-10-30
MANPUB,358,N,2022-10-30
MANPUB,359,N,2022-10-30
MANPUB,360,N,2022-10-30
MANPUB,361,N,2022-10-30
MANPUB,362,N,2022-10-30
MANPUB,363,N,2022-10-30
MANPUB,364,N,2022-10-30
MANPUB,365,N,2022-10-30
MANPUB,366,N,2022-10-30
MANPUB,367,N,2022-10-30
MANPUB,368,N,2022-10-30
MANPUB,369,N,2022-10-30
MANPUB,370,N,2022-10-30
MANPUB,371,N,2022-10-30
MANPUB,372,N,2022-10-30
MANPUB,373,N,2022-10-30
MANPUB,374,N,2022-10-30
MANPUB,375,N,2022-10-30
MANPUB,376,N,2022-10-30
MANPUB,377,N,2022-10-30
MANPUB,378,N,2022-10-30
MANPUB,379,N,2022-10-30
MANPUB,380,N,2022-10-30
MANPUB,381,N,2022-10-30
MANPUB,382,N,2022-10-30
MANPUB,383,N,2022-10-30
MANPUB,384,N,2022-10-30
MANPUB,385,N,2022-10-30
MANPUB,386,N,2022-10-30
MANPUB,387,N,2022-10-30
MANPUB,388,N,2022-10-30
MANPUB,389,N,2022-10-30
MANPUB,390,N,2022-10-30
MANPUB,391,N,2022-10-30
MANPUB,392,N,2022-10-30
MANPUB,393,N,2022-10-30
MANPUB,394,N,2022-10-30
MANPUB,395,N,2022-10-30
MANPUB,396,N,2022-10-30
MANPUB,397,N,2022-10-30
MANPUB,398,N,2022-10-30
MANPUB,399,N,2022-10-30
MANPUB,400,N,2022-10-30
MANPUB,401,N,2022-10-30
MANPUB,402,N,2022-10-30
MANPUB,403,N,2022-10-30
MANPUB,404,N,2022-10-30
MANPUB,405,N,2022-10-30
MANPUB,406,N,2022-10-30
MANPUB,407,N,2022-10-30
MANPUB,408,N,2022-10-30
MANPUB,409,N,2022-10-30
MANPUB,410,N,2022-10-30
MANPUB,411,N,2022-10-30
MANPUB,412,N,2022-10-30
MANPUB,413,N,2022-10-30
MANPUB,414,N,2022-10-30
MANPUB,415,N,2022-10-30
MANPUB,416,N,2022-10-30
MANPUB,417,N,2022-10-30
MANPUB,418,N,2022-10-30
MANPUB,419,N,2022-10-30
MANPUB,420,N,2022-10-30
MANPUB,421,N,2022-10-30
MANPUB,422,N,2022-10-30
MANPUB,423,N,2022-10-30
MANPUB,424,N,2022-10-30
MANPUB,425,N,2022-10-30
MANPUB,426,N,2022-10-30
MANPUB,427,N,2022-10-30
MANPUB,428,N,2022-10-30
MANPUB,429,N,2022-10-30
MANPUB,430,N,2022-10-30
MANPUB,431,N,2022-10-30
MANPUB,432,N,2022-10-30
MANPUB,433,N,2022-10-30
MANPUB,434,N,2022-10-30
MANPUB,435,N,2022-10-30
MANPUB,436,N,2022-10-30
MANPUB,437,N,2022-10-30
MANPUB,438,N,2022-10-30
MANPUB,439,N,2022-10-30
MANPUB,440,N,2022-10-30
MANPUB,441,N,2022-10-30
MANPUB,442,N,2022-10-30
MANPUB,443,N,2022-10-30
MANPUB,444,N,2022-10-30
MANPUB,445,N,2022-10-30
MANPUB,446,N,2022-10-30
MANPUB,447,N,2022-10-30
MANPUB,448,N,2022-10-30
MANPUB,449,N,2022-10-30
MANPUB,450,N,2022-10-30
MANPUB,451,N,2022-10-30
MANPUB,452,N,2022-10-30
MANPUB,453,N,2022-10-30
MANPUB,454,N,2022-10-30
MANPUB,455,N,2022-10-30
MANPUB,456,N,2022-10-30
MANPUB,457,N,2022-10-30
MANPUB,458,N,2022-10-30
MANPUB,459,N,2022-10-30
MANPUB,460,N,2022-10-30
MANPUB,461,N,2022-10-30
MANPUB,462,N,2022-10-30
MANPUB,463,N,2022-10-30
MANPUB,464,N,2022-10-30
MANPUB,465,N,2022-10-30
MANPUB,466,N,2022-10-30
MANPUB,467,N,2022-10-30
MANPUB,468,N,2022-10-30
MANPUB,469,N,2022-10-30
MANPUB,470,N,2022-10-30
MANPUB,471,N,2022-10-30
MANPUB,472,N,2022-10-30
MANPUB,473,N,2022-10-30
MANPUB,474,N,2022-10-30
MANPUB,475,N,2022-10-30
MANPUB,476,N,2022-10-30
MANPUB,477,N,2022-10-30
MANPUB,478,N,2022-10-30
MANPUB,479,N,2022-10-30
MANPUB,480,N,2022-10-30
MANPUB,481,N,2022-10-30
MANPUB,482,N,2022-10-30
MANPUB,483,N,2022-10-30
MANPUB,484,N,2022-10-30
MANPUB,485,N,2022-10-30
MANPUB,486,N,2022-10-30
MANPUB,487,N,2022-10-30
MANPUB,488,N,2022-10-30
MANPUB,489,N,2022-10-30
MANPUB,490,N,2022-10-30
MANPUB,491,N,2022-10-30
MANPUB,492,N,2022-10-30
MANPUB,493,N,2022-10-30
MANPUB,494,N,2022-10-30
MANPUB,495,N,2022-10-30
MANPUB,496,N,2022-10-30
MANPUB,497,N,2022-10-30
MANPUB,498,N,2022-10-30
MANPUB,499,N,2022-10-30
MANPUB,500,N,2022-10-30
MANPUB,501,N,2022-10-30
MANPUB,502,N,2022-10-30
MANPUB,503,N,2022-10-30
MANPUB,504,N,2022-10-30
MANPUB,505,N,2022-10-30
